Brand,ProductName,Category,MRP,SalePrice,Rating,NumberOfReviews,URL
BAOMI,Floral Oversized Handheld Bag,Handbags and Bags,Rs. 6400,Rs. 2560,,,https://www.myntra.com/handbags/baomi/baomi-floral-printed-oversized-handheld-bag-handbags/20774750/buy
Safari,Heritage Large Trolley Bag,Handbags and Bags,Rs. 12700,Rs. 9499,,,https://www.myntra.com/trolley-bag/safari/safari-select-heritage-textured-with-tsa-lock-polycarbonate-large-trolley-bag-77-cm/33024531/buy
Lino Perros,Unisex Structured Sling Bag,Handbags and Bags,Rs. 3995,Rs. 1797,3.8,12,https://www.myntra.com/handbags/lino+perros/lino-perros-unisex-solid-structured-sling-bag-with-pouch/32634982/buy
Exotic,PU Structured Shoulder Bag,Handbags and Bags,Rs. 2999,Rs. 1289,4.5,1.1k,https://www.myntra.com/handbags/exotic/exotic-pu-structured-shoulder-bag/22423756/buy
Fastrack,Women Solid Sling Bag,Handbags and Bags,Rs. 1699,Rs. 934,4.2,62,https://www.myntra.com/handbags/fastrack/fastrack-women-structured-sling-bag-with-dual-zipper-quick-access-pockets/24525632/buy
Provogue,Unisex Hard Sided Trolley Bag,Handbags and Bags,Rs. 9000,Rs. 3780,,,https://www.myntra.com/trolley-bag/provogue/provogue-unisex-coral-hard-sided-large-trolley-bag/34808761/buy
Tommy Hilfiger,Solid Large Trolley Bag,Handbags and Bags,Rs. 11999,Rs. 6599,4.2,93,https://www.myntra.com/trolley-bag/tommy+hilfiger/tommy-hilfiger-solid-360-degree-rotation-hard-large-trolley-bag--1185l/20382842/buy
Lino Perros,Women Structured Sling Bag,Handbags and Bags,Rs. 3995,Rs. 1757,4.5,775,https://www.myntra.com/handbags/lino+perros/lino-perros-women-textured-structured-sling-bag/22000810/buy
Puma,Washed Lightweight Tote Bag,Handbags and Bags,Rs. 1599,Rs. 959,4.6,32,https://www.myntra.com/handbags/puma/puma-washed-spacious-lightweight-tote-bag/35360810/buy
Provogue,Loop Large Check-In Trolley,Handbags and Bags,Rs. 9875,Rs. 4148,,,https://www.myntra.com/trolley-bag/provogue/provogue-loop-hard-sided-large-check-in-trolley-bag---75-cm/34808551/buy
The Souled Store,Men Wolverine:WeaponX Backpack,Handbags and Bags,Rs. 3799,Rs. 3115,4.2,5,https://www.myntra.com/backpacks/the+souled+store/the-souled-store-men-wolverineweaponx-backpack/31086636/buy
Mast & Harbour,Structured Tote Bag with Tasselled,Handbags and Bags,Rs. 3499,Rs. 1469,4.4,67,https://www.myntra.com/handbags/mast+%26+harbour/mast--harbour-women-structured-office-tote-bag/32877616/buy
Wildcraft,Men Printed Rucksack,Handbags and Bags,Rs. 5699,Rs. 2735,4.4,1.5k,https://www.myntra.com/rucksacks/wildcraft/wildcraft-men-grey--blue-printed-rucksack/4323773/buy
Lavie,Solid Medium Dome Satchel,Handbags and Bags,Rs. 4799,Rs. 1399,4.3,4.9k,https://www.myntra.com/handbags/lavie/lavie-women-ushawu-medium-dome-satchel-handbag/10186487/buy
Safari,Brand Logo Backpack with Anti-Theft,Handbags and Bags,Rs. 3799,Rs. 1199,4.6,35,https://www.myntra.com/backpacks/safari/safari-unisex-brand-logo-backpack-with-anti-theft/33439967/buy
